question_id,description,knowledge_component_official
204,输入一个正整数n，再输入n个学生的成绩，统计五分制成绩的成绩分布。百分制成绩到五分制成绩的转换规则：大于或等于90分为A，小于90且大于或等于80分为B，小于80分且大于或等于70分为C，小于70分且大于或等于60为D，小于60分为E。试着编写相应程序。,{if statement}
206,输入一批正整数（以零或负数为结束标志），求其中的奇数和。试编写相应程序。,"{if statement, loop statement}"
208,输入一个整数n，输出2/1+3/2+5/3+8/5+……的前n项之和，保留2位小数，该序列从第二项起，每一项的分子是前一项分子与分母的和，分母是前一项的分子。试编写相应的程序。,{loop statement}
21,给定一个以秒为单位的时间t，要求用 “::”的格式来表示这个时间。表示时间，表示分钟， 而表示秒，它们都是整数且没有前导的“0”。例如，若t=0，则应输出是“0:0:0”；若t=3661，则输出“1:1:1”。,{mathematics}
210,将一笔零钱（大于8分，小于1元，精确到分），换成5分、2分和1分的硬币，每种硬币至少有一枚。输入金额，问有几种换法，输出有多少种换法。试编写相应程序。,"{brute force, loop statement}"
211,输入一个正整数n（3<=n<=7），输出所有n位水仙花数。水仙花数是指一个n位正整数，它的各位数字是n次幂之和等于它本身，输出n位所有水仙花数数量。试编写相应程序。例如：153各位数字的立方和是1^3+5^3+3^3=153。,{loop statement}
212,"输入两个正整数m和n（m<=1000,n<=1000），求其最大公约数和最小公倍数，试编写相应程序。","{number theory, recursion}"
213,皮球从height（米）高度自由落下，触地后反弹到原高度的一半再落下，再反弹…… 如此反复。问皮球在n次反弹的高度是多少？输出保留2位小数，试编写相应程序。,{loop statement}
214,输入一个正整数n（n为奇数），打印一个高度为n的“*”菱形图案。试编写相应程序。,{loop statement}
215,一只猴子第一天摘下若干个桃子，当即吃了一半，还不过瘾，多吃了一个；第二天早上又将剩下桃子吃掉一半，又多吃了一个。以后每天早上都是了前一天剩下的一半加一个。到第n天早上想再吃时就只剩下一个桃子了。问：第一天一共摘了多少个桃子？试编写相应程序（提示：采取逆向思维的方法，从后往前判断）,{iteration}
216,一对兔子，从出生后第三个月起每个月都生一对兔子。小兔子长到第3个月后每个月又生一对兔子。假如兔子都不死，请问第一个月出生的一对兔子，至少需要繁衍到第几个月时兔子总数才可以达到n对？输入一个不超过10000的正整数n，输出兔子总数达到n最少需要的月数。试编写相应程序。,"{number theory, loop statement}"
22,小明先把硬币摆成了一个 n 行 m 列的矩阵。随后，小明对每一个硬币分别进行一次 Q 操作。对第x行第y列的硬币进行 Q 操作的定义：将所有第 ix 行，第 jy 列的硬币进行翻转。其中i和j为任意使操作可行的正整数，行号和列号都是从1开始。当小明对所有硬币都进行了一次 Q 操作后，他发现了一个奇迹——所有硬币均为正面朝上。小明想知道最开始有多少枚硬币是反面朝上的。于是，他向他的好朋友小M寻求帮助。聪明的小M告诉小明，只需要对所有硬币再进行一次Q操作，即可恢复到最开始的状态。然而小明很懒，不愿意照做。于是小明希望你给出他更好的方法。帮他计算出答案。,"{string, mathematics}"
23,Tom教授正在给研究生讲授一门关于基因的课程，有一件事情让他颇为头疼：一条染色体上有成千上万个碱基对，它们从0开始编号，到几百万，几千万，甚至上亿。比如说，在对学生讲解第1234567009号位置上的碱基时，光看着数字是很难准确的念出来的。所以，他迫切地需要一个系统，然后当他输入12 3456 7009时，会给出相应的念法：十二亿三千四百五十六万七千零九用汉语拼音表示为shi er yi san qian si bai wu shi liu wan qi qian ling jiu这样他只需要照着念就可以了。你的任务是帮他设计这样一个系统：给定一个阿拉伯数字串，你帮他按照中文读写的规范转为汉语拼音字串，相邻的两个音节用一个空格符格开。注意必须严格按照规范，比如说“10010”读作“yi wan ling yi shi”而不是“yi wan ling shi”，“100000”读作“shi wan”而不是“yi shi wan”，“2000”读作“er qian”而不是“liang qian”。,"{array, string}"
24,观察这个数列：1 3 0 2 -1 1 -2 ...这个数列中后一项总是比前一项增加2或者减少3。栋栋对这种数列很好奇，他想知道长度为 n 和为 s 而且后一项总是比前一项增加a或者减少b的整数数列可能有多少种呢？,"{dynamic programming, 01 backpack}"
25,回文串，是一种特殊的字符串，它从左往右读和从右往左读是一样的。小龙龙认为回文串才是完美的。现在给你一个串，它不一定是回文的，请你计算最少的交换次数使得该串变成一个完美的回文串。交换的定义是：交换两个相邻的字符例如mamad第一次交换 ad : mamda第二次交换 md : madma第三次交换 ma : madam (回文！完美！),"{string, loop statement}"
259,给定一个n*m大小的矩阵，矩阵中每个值分别为0、1、2中的一个数。数的含义如下：0表示是一块空地；1表示炸弹，炸弹引爆时会将炸弹所在行、所在列都波及，炸弹引爆会产生连锁反应；2表示墙，会阻挡炸弹在该点及之后方向上的波及。每次引爆1个炸弹付出的代价为1，试求出使得矩阵中所有炸弹都被引爆所需要的最小代价。,"{search, graph, greedy}"
26,有n（2≤n≤20）块芯片，有好有坏，已知好芯片比坏芯片多。每个芯片都能用来测试其他芯片。用好芯片测试其他芯片时，能正确给出被测试芯片是好还是坏。而用坏芯片测试其他芯片时，会随机给出好或是坏的测试结果（即此结果与被测试芯片实际的好坏无关）。给出所有芯片的测试结果，问哪些芯片是好芯片。,{loop statement}
260,给定一个起始长度为n的单链表head->a[1]->a[2]->…->a[n]（head为空头节点），有一个p指针初始指向head。现在有Q次操作，每次操作为以下两种中的一种：1.如果p指针有下一个节点，则跳转到下一个节点；2.在p指针节点后插入一个值为val的节点。Q次操作后请输出当前的单链表。,"{linked list, array, simulation}"
27,给定两个仅由大写字母或小写字母组成的字符串(长度介于1到10之间)，它们之间的关系是以下4中情况之一：1：两个字符串长度不等。比如 Beijing 和 Hebei2：两个字符串不仅长度相等，而且相应位置上的字符完全一致(区分大小写)，比如 Beijing 和 Beijing3：两个字符串长度相等，相应位置上的字符仅在不区分大小写的前提下才能达到完全一致（也就是说，它并不满足情况2）。比如 beijing 和 BEIjing4：两个字符串长度相等，但是即使是不区分大小写也不能使这两个字符串一致。比如 Beijing 和 Nanjing编程判断输入的两个字符串之间的关系属于这四类中的哪一类，给出所属的类的编号。,{string}
270,"输入一个正整数n(1<n<=10),再输入n个整数，将他们从大到小排序后输出。试编写相应程序。","{sort, array, loop statement}"
28,兰顿蚂蚁，是于1986年，由克里斯·兰顿提出来的，属于细胞自动机的一种。平面上的正方形格子被填上黑色或白色。在其中一格正方形内有一只“蚂蚁”。蚂蚁的头部朝向为：上下左右其中一方。蚂蚁的移动规则十分简单：若蚂蚁在黑格，右转90度，将该格改为白格，并向前移一格；若蚂蚁在白格，左转90度，将该格改为黑格，并向前移一格。规则虽然简单，蚂蚁的行为却十分复杂。刚刚开始时留下的路线都会有接近对称，像是会重复，但不论起始状态如何，蚂蚁经过漫长的混乱活动后，会开辟出一条规则的“高速公路”。蚂蚁的路线是很难事先预测的。  　　你的任务是根据初始状态，用计算机模拟兰顿蚂蚁在第n步行走后所处的位置。,"{array, breadth-first search}"
282,输入一个正整数n（1<n<=1000），再输入n个整数，分析每个整数的每一位数字，求出现次数最多的数字。例如输入n个整数，分析每个整数的每一位数字，求出现次数最多的数字。例如输入3个整数1234、2345、3456，其中出现次数最多的数字是3和4，均出现了3次。试编写相应程序。,"{array, loop statement}"
283,"输入一个正整数n(1<=n<=6)和n阶方阵a中的元素，如果a是上三角矩阵，输出”YES”,否则输出“NO”。","{array, loop statement}"
284,"输入2个正整数m和n（1<=m<=6,1<=n<=6），然后输入矩阵a（m行n列）中的元素，分别求出各行元素之和，并输出。试编写相应程序。","{array, loop statement}"
285,输入1个整数n（1<=n<=6）和n阶方阵a中的元素，假设方阵a最多有1个鞍点，如果找到a的鞍点，就输出其下标，否则，输出“NO”。鞍点的元素值在该行上最大，该列上最小，试编写相应程序。,"{array, loop statement}"
29,"栋栋每天骑自行车回家需要经过一条狭长的林荫道。道路由于年久失修，变得非常不平整。虽然栋栋每次都很颠簸，但他仍把骑车经过林荫道当成一种乐趣。由于颠簸，栋栋骑车回家的路径是一条上下起伏的曲线，栋栋想知道，他回家的这条曲线的长度究竟是多长呢？更准确的，栋栋想知道从林荫道的起点到林荫道的终点，他的车前轮的轴（圆心）经过的路径的长度。栋栋对路面进行了测量。他把道路简化成一条条长短不等的直线段，这些直线段首尾相连，且位于同一平面内。并在该平面内建立了一个直角坐标系，把所有线段的端点坐标都计算好。假设栋栋的自行车在行进的过程中前轮一直是贴着路面前进的。上图给出了一个简单的路面的例子，其中蓝色实线为路面，红色虚线为车轮轴经过的路径。在这个例子中，栋栋的前轮轴从A点出发，水平走到B点，然后绕着 地面的F点到C点（绕出一个圆弧），再沿直线下坡到D点，最后水平走到E点，在这个图中地面的坐标依次为：(0, 0), (2, 0), (4, -1),(6, -1)，前轮半径为1.50，前轮轴前进的距离依次为：AB=2.0000；弧长BC=0.6955；CD=1.8820；DE=1.6459。总长度为6.2233。下图给出了一个较为复杂的路面的例子，在这个例子中，车轮在第一个下坡还没下完时（D点）就开始上坡了，之后在坡的顶点要从E绕一个较大的圆弧到F点。这个图中前轮的半径为1，每一段的长度依次为：AB=3.0000；弧长BC=0.9828；CD=1.1913；DE=2.6848；弧长EF=2.6224； FG=2.4415；GH=2.2792。总长度为15.2021。现在给出了车轮的半径和路面的描述，请求出车轮轴轨迹的总长度。","{array, mathematics}"
297,本题要求编写程序，读入5个字符串，按由小到大的顺序输出。,"{sort, string, array, loop statement}"
298,本题要求编写函数，判断给定的一串字符是否为“回文”。所谓“回文”是指顺读和倒读都一样的字符串。如“XYZYX”和“xyzzyx”都是回文。函数接口定义：bool palindrome( char *s );函数palindrome判断输入字符串char *s是否为回文。若是则返回true，否则返回false。,"{array, string, loop statement}"
299,本题要求实现一个函数，统计给定字符串中的大写字母、小写字母、空格、数字以及其它字符各有多少。函数接口定义：void StringCount( char *s );其中char *s是用户传入的字符串。函数StringCount须在一行内按照大写字母个数 小写字母个数 空格个数 数字个数 其它字符个数 (注： 换行符也算字符）的格式输出。,"{array, string, loop statement}"
311,给你一个数组，数组上的每个位置都有一定数量的豆子，现在吃豆人会进行若干次操作，每次操作给定一个坐标x，吃豆人会把位于坐标x上位置的豆子都吃掉，同时位于x位置右边的位置都会向左移动一格。具体来说，x+1位置上的豆子转移到x位置，x+2位置上的豆子转移到x+1位置，以此类推。每次操作，如果吃豆人发现x位置上已经没豆子了，输出0，否则输出吃到的豆子数。,"{array, loop statement}"
312,复读机就是可以把声音存储下来并且重复播放的一种机器。现在有一个复读机，它可以把你的输入保留信息输出。但是，这个复读机有一个毛病，它在某些时刻会重复当前的语句不止一遍，而在正常时刻只会复读一遍，现在请你输出复读后的语句。,"{array, loop statement}"
316,给定两个长度为n的全排列a，b（全排列即长度为n的数组，且数组中的元素各不相同），对于第一个全排列的每个数a[i]，输出其在第二个全排列b中出现的位置。,"{array, loop statement}"
317,"歌唱比赛有n个裁判(n>=3)，每个裁判会给当前这位歌手打分为[1,10]之间的一个整数，最终这个选手的得分为：去掉一个最高分和一个最低分之后的平均分。现在已知小华同学的最终得分p，但是n个裁判给的得分中恰好有一个丢失了，即小华只知道n-1个裁判给出的得分，现在请你帮小华判断他的最终得分是否是对的（即是否存在第n个裁判给出某个分数q满足小华的最终得分为p）？","{array, loop statement}"
328,本题要求实现一个计算非负整数阶乘的简单函数，并利用该函数求1!+2!+3!+...+n!的值。函数接口定义：double fact( int n );double factsum( int n );函数fact应返回n的阶乘，建议用递归实现。函数factsum应返回1!+2!+...+n!的值。题目保证输入输出在双精度范围内。,{recursion}
329,"本题要求实现一个计算x^​n​​（n≥1）的函数。函数接口定义：double calc_pow( double x, int n );函数calc_pow应返回x的n次幂的值。建议用递归实现。题目保证结果在双精度范围内。",{recursion}
33,某涉密单位下发了某种票据，并要在年终全部收回。每张票据有唯一的ID号。全年所有票据的ID号是连续的，但ID的开始数码是随机选定的。因为工作人员疏忽，在录入ID号的时候发生了一处错误，造成了某个ID断号，另外一个ID重号。你的任务是通过编程，找出断号的ID和重号的ID。假设断号不可能发生在最大和最小号。,"{sort, string}"
330,"本题要求实现一个函数，计算下列简单交错幂级数的部分和：f(x,n)=x−x^​2​​+x^​3​​−x^​4​​+⋯+(−1)^(n−1)*​​x^​n​​函数接口定义：double fn( double x, int n );其中题目保证传入的n是正整数，并且输入输出都在双精度范围内。函数fn应返回上述级数的部分和。建议尝试用递归实现。",{recursion}
331,"本题要求实现Ackermenn函数的计算，其函数定义如下：函数接口定义：int Ack( int m, int n );其中m和n是用户传入的非负整数。函数Ack返回Ackermenn函数的相应值。题目保证输入输出都在长整型",{recursion}
332,本题要求实现求Fabonacci数列项的函数。Fabonacci数列的定义如下：f(n)=f(n−2)+f(n−1) (n≥2)，其中f(0)=0，f(1)=1。函数接口定义：int f( int n );函数f应返回第n个Fabonacci数。题目保证输入输出在长整型范围内。建议用递归实现。,"{number theory, recursion}"
333,本题要求实现一个函数，将自然数n转换为二进制后输出。函数接口定义：void dectobin( int n );函数dectobin应在一行中打印出二进制的n。建议用递归实现。,"{number theory, recursion}"
334,本题要求实现一个函数，对一个整数进行按位顺序输出。函数接口定义：void printdigits( int n );函数printdigits应将n的每一位数字从高位到低位顺序打印出来，每位数字占一行。,"{number theory, recursion}"
335,输入n（n<10）个整数，统计其中素数的个数。函数接口定义：int countPrime( int n );函数countPrime应返回输入前n个数中素数个数。,"{number theory, recursion}"
338,编写程序，利用结构变量求解两个复数之积 。,{struct}
339,"输入两个二维平面向量 Vl = ( x l , y l) 和 V2 = ( x2 , y2 ) 的分量，计算并输出两个向量的和向量。试编写相应程序",{struct}
340,给定n本书的名称和定价，本题要求编写程序，查找并输出其中定价最高和最低的书的名称和定价。,"{string, struct}"
341,输入n个朋友的信息，包括姓名、生日、电话号码，本题要求编写程序，按照年龄从大到小的顺序依次输出通讯录。题目保证所有人的生日均不相同。,"{sort, struct}"
35,很久以前，T王国空前繁荣。为了更好地管理国家，王国修建了大量的快速路，用于连接首都和王国内的各大城市。为节省经费，T国的大臣们经过思考，制定了一套优秀的修建方案，使得任何一个大城市都能从首都直接或者通过其他大城市间接到达。同时，如果不重复经过大城市，从首都到达每个大城市的方案都是唯一的。J是T国重要大臣，他巡查于各大城市之间，体察民情。所以，从一个城市马不停蹄地到另一个城市成了J最常做的事情。他有一个钱袋，用于存放往来城市间的路费。聪明的J发现，如果不在某个城市停下来修整，在连续行进过程中，他所花的路费与他已走过的距离有关，在走第x千米到第x+1千米这一千米中（x是整数），他花费的路费是x+10这么多。也就是说走1千米花费11，走2千米要花费23。J大臣想知道：他从某一个城市出发，中间不休息，到达另一个城市，所有可能花费的路费中最多是多少呢？,{depth-first search}
359,凯撒加密，是一种古老的加密技术，是把条信息中的每个字母用字母表中固定距离（k）之后的那个字母代替。可先输入一个k，接着输入一个字符串（字符串全是小写的英文字母）。试着编写程序，将字符串中的字符进行K值凯撒加密。例如：k=2，字符 a 经过k值凯撒加密之后变为 c ，而字符 z 经过k值凯撒加密之后变为字符b。,"{string, pointer}"
360,给定两个数组，每个数组中的整数都是从小到大排列。设计一个方法，将两个数组合并到一起，并从大到小输出合并后的结果。试着编写程序实现。,"{sort, pointer}"
361,输入字符串A，和输入字符串B，计算B和A 的相似情况，判断两个字符串是否相似，如果相似输出Yes否则输出No,"{brute force, string, dynamic programming}"
362,输入一个字符串语句查看语句中的单词出现的次数，并按照出现的次数对单词从小到大排序,"{sort, string}"
365,给定三维平面上的n个点，先按x轴从小到大排序，x轴相同的按y轴从小到大排序，x和y轴都相同的按z轴从小到大排序。,"{sort, struct, array, loop statement}"
37,X 国王有一个地宫宝库。是 n x m 个格子的矩阵。每个格子放一件宝贝。每个宝贝贴着价值标签。地宫的入口在左上角，出口在右下角。小明被带到地宫的入口，国王要求他只能向右或向下行走。走过某个格子时，如果那个格子中的宝贝价值比小明手中任意宝贝价值都大，小明就可以拿起它（当然，也可以不拿）。当小明走到出口时，如果他手中的宝贝恰好是k件，则这些宝贝就可以送给小明。请你帮小明算一算，在给定的局面下，他有多少种不同的行动方案能获得这k件宝贝。,"{dynamic programming, depth-first search}"
371,给你一个数组，数组上的每个位置都有一定数量的豆子，现在吃豆人会进行若干次操作，每次操作给定一个坐标x，吃豆人会把位于坐标x上位置的豆子都吃掉，同时位于x位置右边的位置都会向左移动一格。具体来说，x+1位置上的豆子转移到x位置，x+2位置上的豆子转移到x+1位置，以此类推。每次操作，如果吃豆人发现x位置上已经没豆子了，输出0，否则输出吃到的豆子数。,"{array, loop statement}"
372,"歌唱比赛有n个裁判(n>=3)，每个裁判会给当前这位歌手打分为[1,10]之间的一个整数，最终这个选手的得分为：去掉一个最高分和一个最低分之后的平均分。现在已知小华同学的最终得分p，但是n个裁判给的得分中恰好有一个丢失了，即小华只知道n-1个裁判给出的得分，现在请你帮小华判断他的最终得分是否是对的（即是否存在第n个裁判给出某个分数q满足小华的最终得分为p）？",{array}
376,"定义数列$ f_{n+2} = f_{n+1} + f_{n} $，数列中任何一个元素都是正整数。从定义可以看出，不同的$ f_1,f_2 $会产生不同的数列。假设给定一个数字$ x(2 <= x <= 2^{32} ) $，给出这个数字出现在位置$ i(i >= 3，数列下标从1开始) $的数列个数。",{array}
383,"输入月份，输出对应的英文名称。要求用指针数组表示 12个月的英文名称。例如，输入5,输出May。试编写相应程序。",{pointer}
39,"斐波那契数列大家都非常熟悉。它的定义是：f(x) = 1 .... (x=1,2)f(x) = f(x-1) + f(x-2) .... (x>2)对于给定的整数 n 和 m，我们希望求出：f(1) + f(2) + ... + f(n) 的值。但这个值可能非常大，所以我们把它对 f(m) 取模。公式如下但这个数字依然很大，所以需要再对p 求模。","{matrix, binary exponentiation, iteration}"
399,输入学生人数n，然后构建一个结构体数组，结构体包含学号和学生成绩（都是int类型），然后输出成绩不及格（<60）的学生的学号。,"{array of structures, conditional statement}"
40,有n个小朋友围坐成一圈。老师给每个小朋友随机发偶数个糖果，然后进行下面的游戏：每个小朋友都把自己的糖果分一半给左手边的孩子。一轮分糖后，拥有奇数颗糖的孩子由老师补给1个糖果，从而变成偶数。反复进行这个游戏，直到所有小朋友的糖果数都相同为止。你的任务是预测在已知的初始糖果情形下，老师一共需要补发多少个糖果。,"{array, simulation, loop statement}"
401,"高中作文打分（满分为60分），为了避免作文打分的主观因素的影响，一般会请n个老师进行打分，从中去掉最高分和最低分，对保留的求和并平均。现在给定n个老师打分的情况，你需要求出最高分和最低分，并分别存到指针变量p和q中（int类型指针）；对剩下的分数求和平均保存到指针变量r（double类型指针）中。程序最后一行请输出如下代码：printf(""%d %d %.2f\n"",*p,*q,*r);",{pointer}
411,Michael喜欢滑雪这并不奇怪，因为滑雪的确很刺激。可是为了获得速度，滑的区域必须向下倾斜，而且当你滑到坡底，你不得不再次走上坡或者等待升降机来载你。Michael想知道载一个区域中最长底滑坡。区域由一个二维数组给出。数组的每个数字代表点的高度。下面是一个例子:一个人可以从某个点滑向上下左右相邻四个点之一，当且仅当高度减小。一条可滑行的滑坡为24-17-16-1。当然25-24-23-...-3-2-1更长。事实上，这是最长的一条。要求用DFS实现,"{depth-first search, recursion}"
412,Michael喜欢滑雪这并不奇怪，因为滑雪的确很刺激。可是为了获得速度，滑的区域必须向下倾斜，而且当你滑到坡底，你不得不再次走上坡或者等待升降机来载你。Michael想知道载一个区域中最长底滑坡。区域由一个二维数组给出。数组的每个数字代表点的高度。下面是一个例子:一个人可以从某个点滑向上下左右相邻四个点之一，当且仅当高度减小。一条可滑行的滑坡为24-17-16-1。当然25-24-23-...-3-2-1更长。事实上，这是最长的一条。要求用BFS实现,"{queue, breadth-first search}"
415,用低位优先基数排序对下列字符串进行排序。,"{sort, radix sort}"
416,对下列数字进行归并排序,{merge sort}
420,对下列数字进行快速排序。,{quick sort}
429,n个人排成一排（用链表实现）。给定一份名单，该名单中共有m个人（是n个人的子集）。现要将名单中的人进行分组，分组规则是连续排在一起的人为一组。求名单中的人一共能分成多少组？,{linked list}
43,"输入n, m, k，输出下面公式的值。其中C_n^m是组合数，表示在n个人的集合中选出m个人组成一个集合的方案数。组合数的计算公式如下。","{number theory, combinatorics, mathematics}"
430,给定一个平衡括号字符串S，按下述规则计算该字符串的分数：()得1分。AB得A + B分，其中A和B是平衡括号字符串。例如“()()”得1+1=2分。(A)得2 * A分，其中A是平衡括号字符串，例如“(())”得2*1=2分。提示：可用栈实现，括号在栈中可用0代替，遇到左括号进栈，遇到右括号出栈后算分，算出局部分数后，可以将该分数重新压入栈中。,{stack}
431,将两个有序的存有大写字母的链表进行合并，保证合并后的链表依然有序并去重，仅保留不重复的字母结点。,{linked list}
432,"1、给出后序遍历序列###ca##ji####spom(#代表空指针), 构建二叉树。2、上述二叉树实际是一颗二叉排序树，请实现程序（1）查找c节点，输出从树根到c节点的路径。（2）删除其中的m节点，使得删除后仍为二叉排序树，并输出其中序遍历序列。",{binary tree}
433,"给出n个坐标点<x1,y1>, <x2, y2>…..<xn, yn>，请对他们进行堆排序。坐标点的大小关系是：如果 xi> xj, 则 <xi,yi>  大于 <xj, yj>；若 xi=xj 且 yi >yj, 那么同样有<xi,yi>  大于 <xj, yj>。请使用堆排序完成，建议使用C++的面向对象的程序设计。",{heap sort}
434,"有一堆二维坐标点<x1,y1>, <x2, y2>…..<xn, yn>。假定坐标点是一个一个来的，请利用堆，能时刻报告数据中的最小的k项。比如k=1,  有4个坐标数据 <2,2>, <1,1>, <3,3>, <0,0> 依次到来。那么当来第一个<2,2>时， top-1的值是<2,2>, 再来一个数据<1,1>,这时top-1的值变为了 <1,1>, 再来一个<3,3>数据，top-1还是<1,1>, 第四个数据<0,0>到了后，top-1 就变为了 <0,0>。",{top-k}
435,输入一个字符串（不包含空格），统计其中非数字字符的个数。,{string}
436,给定一个长度为n的整数序列，要求使用快速排序进行升序排序。***注意：本题禁止使用sort库函数，且其他排序方法不得分***,{sort}
